YEAR,"CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Race alone or in combination with one or more other races!!Total population,Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Race alone or in combination with one or more other races!!Total population!!Asian,Race alone or in combination with one or more other races!!Total population!!Black or African American,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,Race alone or in combination with one or more other races!!Total population!!White,RACE!!Total population,RACE!!Total population!!One race,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!One race!!White,RACE!!Total population!!One race.1,RACE!!Total population!!Two or more races,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races.1,SEX AND AGE!!Total population,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Female,SEX AND AGE!!Total population!!Male,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!Under 5 years,Total housing units,Zipcode
2020,23577,11951,11626,34455,3820,0,2901,904,15,30635,255,5348,2624,949,199,2141,2057,84,19119,34455,1083,6402,3465,1503,2324,22698,34455,31763,352,0,9,0,23,5369,1067,458,1213,135,1473,570,453,2694,1004,26,58,344,576,1921,20423,31763,2692,184,413,680,355,2692,34455,2053,2087,26998,26063,13119,12944,98.7,26063,1665,24947,4582,4359,4614,2797,2862,2501,6098,3184,4721,2596,2125,81.9,4721,990,547,16664,17791,39.8,106.8,8392,2214,11981,98001
2020,20785,10655,10130,33947,7591,62,6476,702,351,26356,698,1966,3166,1091,51,2698,2345,353,16686,33947,1779,2911,4845,1425,4157,22702,33947,30393,732,13,0,49,7,2002,452,176,630,56,80,449,159,3343,1104,42,38,857,167,3500,19712,30393,3554,184,513,623,1016,3554,33947,2808,1772,25661,25029,12633,12396,98.1,25029,1893,24030,5038,4518,4335,2510,2319,1771,5256,2577,4459,2440,2019,82.7,4459,1363,519,17075,16872,35.7,98.8,8918,2524,14295,98002
2020,30152,15478,14674,49445,10770,37,7719,2792,222,38675,192,5803,8354,1306,296,2503,2109,394,20221,49445,719,6813,9996,1907,7612,26893,49445,45623,266,13,17,8,11,5840,224,471,1268,155,1600,985,1137,8690,1306,7,203,293,803,6055,23466,45623,3822,6,270,511,675,3822,49445,2854,3921,39227,37579,19099,18480,96.8,37579,2991,35364,8198,5729,5337,2902,3323,2983,9289,4264,7381,4259,3122,73.3,7381,2192,925,24792,24653,35.1,99.4,11866,3826,19316,98003
2020,22486,11449,11037,37265,1650,20,717,757,156,35615,72,13307,655,110,71,1617,1575,42,19783,37265,206,14704,1056,117,552,22458,37265,35522,88,0,0,0,17,13314,4145,5499,334,811,1473,827,225,672,110,0,6,42,62,452,20886,35522,1743,16,91,1161,157,1743,37265,1669,1647,31518,30740,15332,15408,100.5,30740,1786,30204,8652,5620,4757,1878,2646,1586,6103,2666,5247,2876,2371,82.4,5247,1378,1203,18132,19133,37.2,105.5,6525,1777,19454,98004
2020,11242,5661,5581,21414,1310,31,875,359,45,20104,29,9667,423,158,31,872,764,108,8924,21414,119,10231,662,171,754,10716,21414,20211,31,0,0,0,0,9667,4601,2827,213,411,429,967,219,441,158,158,0,0,0,315,9599,20211,1203,0,65,474,189,1203,21414,1168,921,17186,16719,8290,8429,101.7,16719,867,16228,4227,3746,2756,1187,1403,797,3167,1496,2644,1450,1194,82.3,2644,877,271,10489,10925,36.5,104.2,4695,1698,8822,98005
2020,24074,12187,11887,37473,2988,118,2237,511,122,34485,46,14057,948,26,382,1375,1337,38,17651,37473,222,15242,1116,186,1837,21511,37473,34897,46,0,0,0,0,14106,2081,7468,294,860,1542,938,923,948,26,0,6,2,18,679,19092,34897,2576,0,139,951,94,2576,37473,2836,2916,29786,28331,14537,13794,94.9,28331,1542,27044,3541,4840,6210,2407,2858,3016,7439,3309,5535,2951,2584,87.6,5535,1717,509,18727,18746,42.9,100.1,9142,1772,13955,98006
2020,13149,6503,6646,28147,2591,75,1737,760,19,25556,164,12095,1327,115,1,1194,789,405,10660,28147,303,12883,1719,115,1141,13279,28147,26894,164,0,8,0,0,12215,7342,2401,498,341,529,720,384,1327,115,0,50,16,49,726,12347,26894,1253,61,58,373,306,1253,28147,1309,708,22643,22411,10871,11540,106.2,22411,1490,21942,8068,4146,2804,1806,1502,821,3692,1518,3241,2057,1184,57.6,3241,1059,664,13365,14782,32.9,110.6,5736,2252,12193,98007
2020,16639,8363,8276,25650,2289,0,1757,460,72,23361,23,6128,400,10,86,1228,1145,83,15486,25650,179,7037,614,59,901,18255,25650,24343,56,0,0,0,0,6128,1955,2156,375,528,241,248,625,400,10,0,1,9,0,730,17019,24343,1307,0,50,844,150,1307,25650,1647,1191,20926,20295,9991,10304,103.1,20295,1214,19858,3223,3419,3907,1485,1780,1382,5731,2458,5066,2832,2234,78.9,5066,1044,1564,12651,12999,43.2,102.8,5355,1336,9672,98008
2020,4538,2360,2178,5882,527,0,262,212,53,5355,1,355,16,0,0,109,90,19,4874,5882,33,413,16,0,170,5359,5882,5773,1,0,0,0,0,355,0,80,246,0,16,13,0,16,0,0,0,0,0,151,5250,5773,109,0,32,58,0,109,5882,319,303,4844,4760,2360,2400,101.7,4760,187,4572,957,775,854,344,456,504,1123,543,862,422,440,104.3,862,238,81,3004,2878,41,95.8,1122,321,2433,98010
2020,22698,10999,11699,34201,4332,76,3163,938,155,29869,59,5209,487,51,40,1946,1562,384,22077,34201,645,6732,860,155,2934,25792,34201,31665,66,13,0,0,0,5324,1710,1626,559,452,253,425,299,521,51,0,42,0,9,2033,23670,31665,2536,15,266,766,198,2536,34201,2004,2257,27695,26773,12953,13820,106.7,26773,1510,25492,5725,5377,4994,2035,2116,1708,5617,2908,4425,2533,1892,74.7,4425,816,701,16519,17682,37.6,107,7428,2050,14223,98011
2020,42476,21444,21032,70009,5561,53,4103,1143,262,64448,417,17172,2287,203,795,3515,3204,311,40059,70009,1145,19279,3491,532,3307,47164,70009,65477,425,118,0,0,0,17205,7747,2640,1367,506,2042,1864,1039,2327,228,0,36,103,89,2219,43073,65477,4532,26,473,1577,853,4532,70009,4849,3867,53523,51605,25835,25770,99.7,51605,3761,49719,11338,11761,9417,5521,3648,3038,9191,4450,7377,3929,3448,87.8,7377,2124,803,35244,34765,35.2,98.6,18404,5432,25605,98012
2020,5594,2818,2776,7200,438,0,360,73,5,6762,12,53,34,7,0,125,117,8,6531,7200,21,183,35,12,131,7062,7200,6956,21,0,12,0,0,53,0,8,2,9,8,7,19,34,7,0,7,0,0,13,6828,6956,244,0,0,120,0,244,7200,416,450,5998,5815,2955,2860,96.8,5815,276,5681,609,988,975,256,871,817,1632,899,1185,575,610,106.1,1185,227,59,3734,3466,47.8,92.8,1385,357,2923,98014
2020,7788,4113,3675,11841,726,0,581,129,16,11115,0,684,133,0,0,404,389,15,9894,11841,15,976,205,45,299,10731,11841,11436,0,0,0,0,0,692,39,32,0,298,55,180,88,133,0,0,0,0,0,283,10328,11436,405,0,15,258,70,405,11841,834,943,9000,8602,4513,4089,90.6,8602,373,8284,1294,2140,2106,922,817,698,1308,615,913,611,302,49.4,913,284,14,6106,5735,37.7,93.9,3239,801,4215,98019
2020,14820,7739,7081,19010,997,0,776,149,72,18013,0,1777,45,151,108,512,512,0,15420,19010,440,1975,131,151,400,16718,19010,18330,3,0,0,0,0,1777,680,143,311,287,162,141,53,69,151,0,0,151,0,292,16038,18330,680,0,312,198,45,680,19010,849,983,16370,15783,8345,7438,89.1,15783,728,15481,2177,1783,2804,930,1226,1586,6149,2558,5231,3014,2217,73.6,5231,1716,957,10153,8857,49.2,87.2,3227,713,9264,98020
2020,21179,10588,10591,33382,1898,188,1009,641,60,31484,226,8018,394,34,30,1657,1537,120,21125,33382,474,9327,878,279,782,23989,33382,31230,226,0,3,9,0,8112,4140,1777,405,352,505,564,369,440,34,21,13,0,0,328,22090,31230,2152,0,132,901,287,2152,33382,2568,1458,25407,24693,12490,12203,97.7,24693,1525,24061,4024,5899,4748,2641,2022,1945,5396,2576,4126,2158,1968,91.2,4126,1186,364,16445,16937,38.5,103,8689,2426,11849,98021
2020,16067,8289,7778,21296,2303,9,1562,703,29,18993,211,307,95,107,0,921,921,0,17352,21296,518,666,346,216,776,19925,21296,20184,211,7,53,0,0,307,0,50,153,13,0,36,55,95,107,0,0,107,0,642,18822,20184,1112,0,307,316,231,1112,21296,1400,1276,17464,16873,8740,8133,93.1,16873,1131,16184,2225,2569,2832,1272,1800,1667,4927,2562,4128,2230,1898,85.1,4128,897,669,10666,10630,44,99.7,4423,996,9510,98022
2020,34384,17393,16991,50176,6623,50,4755,1639,179,43553,461,7444,6786,1101,300,4176,3967,209,23285,50176,1855,9598,9364,1641,4135,29977,50176,44789,634,22,19,15,0,7449,255,824,2238,195,2658,490,789,6956,1114,47,136,661,270,2940,25696,44789,5387,176,239,1032,1360,5387,50176,3449,3359,40259,38863,19369,19494,100.6,38863,3767,36531,6921,6504,6649,2937,3676,3523,8570,3751,6281,3255,3026,93,6281,1750,780,24729,25447,37.1,102.9,11313,3110,18560,98023
2020,4795,2350,2445,6635,583,0,527,56,0,6052,82,408,4,24,0,244,244,0,5290,6635,194,556,123,113,316,5801,6635,6384,82,82,0,0,0,408,15,62,213,104,0,0,14,4,24,0,24,0,0,316,5550,6384,251,0,0,43,7,251,6635,415,529,5350,5039,2515,2524,100.4,5039,224,4903,462,831,1435,337,480,610,1196,543,867,376,491,130.6,867,226,98,3228,3407,47.1,105.5,1596,445,2394,98024
2020,28655,15187,13468,38292,3404,37,1709,1578,80,34888,267,4011,979,163,65,2347,2214,133,27056,38292,742,5169,1520,593,2128,31418,38292,35186,272,15,0,0,0,4030,419,499,685,420,800,608,599,979,163,17,135,11,0,1307,28435,35186,3106,31,356,970,419,3106,38292,1623,2158,31834,30927,16302,14625,89.7,30927,2014,29915,5315,5549,5320,2235,3159,2498,7720,3879,6344,3559,2785,78.3,6344,1721,744,19605,18687,42.2,95.3,7365,2077,15331,98026
2020,21162,10788,10374,30240,2956,31,2149,709,67,27284,17,4821,268,0,127,985,985,0,21066,30240,310,5515,623,96,1485,23521,30240,29066,24,0,0,0,0,4821,1240,1717,339,506,485,329,205,417,0,0,0,0,0,1366,22438,29066,1174,35,115,554,67,1174,30240,1884,1887,24760,23984,12090,11894,98.4,23984,1051,23114,4161,4625,5208,1548,2186,1862,5391,2338,4248,2313,1935,83.7,4248,1259,651,15096,15144,41.5,100.3,6256,1580,12732,98027
2020,16023,7878,8145,22953,1516,0,1148,260,108,21437,9,3225,345,127,63,825,825,0,16843,22953,275,3764,493,225,506,18827,22953,21861,21,0,0,0,0,3225,520,1455,256,180,437,318,59,345,127,0,18,109,0,401,17742,21861,1092,0,234,507,141,1092,22953,1254,1333,18559,17997,8751,9246,105.7,17997,722,17394,3541,3285,3561,1480,1650,1181,4312,1849,3575,1901,1674,88.1,3575,1093,633,11331,11622,40,102.6,4956,1371,9666,98028
2020,17773,9668,8105,29956,1721,89,1251,381,0,28235,42,8986,717,12,291,1804,1804,0,16383,29956,200,10783,1086,411,852,19416,29956,27635,44,0,0,0,0,9004,4268,2875,157,669,511,506,18,729,12,0,12,0,0,622,17224,27635,2321,0,127,1404,120,2321,29956,2306,1304,23082,22471,12032,10439,86.8,22471,986,21856,5037,6176,3835,2171,1684,1192,3892,1696,3102,1950,1152,59.1,3102,962,444,16030,13926,36.4,86.9,7485,2163,12209,98029
2020,22673,11485,11188,37411,5505,16,4078,1311,100,31906,62,7854,5000,1005,202,2417,2144,273,15366,37411,745,9296,6185,1208,3692,19623,37411,34327,220,0,0,0,0,7886,1319,1260,1268,210,353,2074,1402,5121,1005,95,91,54,765,2983,17112,34327,3084,6,309,842,835,3084,37411,2419,2513,29288,28343,13960,14383,103,28343,2626,26554,5993,5389,4599,2689,2401,2051,5204,2121,4180,2434,1746,71.7,4180,1324,735,18782,18629,34.8,99.2,9068,2551,13354,98030
2020,23673,12079,11594,38163,5181,89,3495,1539,58,32982,179,11369,4192,112,94,2550,2373,177,14486,38163,895,12233,5561,549,4119,18269,38163,35099,223,0,0,9,0,11460,2577,1794,2757,286,269,1725,2052,4254,129,0,48,44,37,3429,15604,35099,3064,26,377,532,789,3064,38163,2024,2535,30182,29106,14690,14416,98.1,29106,2501,27814,6296,5035,5004,2714,2948,2295,5566,2578,4195,2297,1898,82.6,4195,1145,472,18474,19689,35.8,106.6,9057,2616,12942,98031
2020,22418,11320,11098,38478,8874,106,6551,2017,200,29604,198,5323,4941,1566,10,2535,2535,0,15031,38478,688,6885,6631,1843,6699,19466,38478,35028,219,70,0,0,0,5355,885,376,1097,216,163,1880,738,5311,1587,180,70,440,897,5966,16590,35028,3450,38,222,1107,1034,3450,38478,2502,1994,29509,28699,14418,14281,99,28699,3115,27280,8233,5231,3800,3382,2203,1751,4631,2310,3676,2258,1418,62.8,3676,1018,348,18866,19612,31.7,104,9779,2591,14893,98032
2020,27605,14508,13097,39802,2147,4,1403,583,157,37655,16,6503,724,6,370,2018,1912,106,28018,39802,309,7971,1022,147,1166,31358,39802,37652,45,0,0,0,0,6578,1608,2948,260,572,504,551,135,739,6,0,0,0,6,943,29341,37652,2150,0,249,1239,254,2150,39802,2003,2224,32640,31769,16575,15194,91.7,31769,2050,30374,6171,6610,4866,2303,3108,2365,6877,3657,5617,3301,2316,70.2,5617,1531,429,20731,19071,38.5,92,8033,2485,17938,98033
2020,30208,15288,14920,45009,4527,52,2995,1304,176,40482,119,6811,854,0,25,2432,2353,79,30241,45009,877,8303,1310,365,2086,35698,45009,41786,179,0,14,0,30,6844,1505,2008,433,423,444,1667,364,864,0,0,0,0,0,1206,32693,41786,3223,12,546,1037,282,3223,45009,2624,1913,36824,35876,18109,17767,98.1,35876,2665,34990,8784,6970,5868,2285,2430,2548,7451,3567,6030,3419,2611,76.4,6030,1708,755,22305,22704,36.6,101.8,9133,2892,19279,98034
2020,28006,14086,13920,40784,4418,48,2629,1709,32,36366,74,6432,2750,37,99,2499,2499,0,24475,40784,467,8034,4076,96,1970,29494,40784,37528,76,0,18,2,0,6449,675,931,970,279,1157,1267,1170,2927,37,15,0,22,0,1711,26328,37528,3256,7,286,1468,1063,3256,40784,2532,2295,32813,32009,15929,16080,100.9,32009,2615,30344,6171,5359,6088,2268,2398,2650,7335,3451,5683,3376,2307,68.3,5683,1443,789,20201,20583,38.2,101.9,8775,2725,15605,98036
2020,20987,10359,10628,29977,3702,89,2952,584,77,26275,114,7466,1763,11,43,1758,1637,121,15120,29977,731,8551,2101,357,2364,19044,29977,26948,159,0,77,0,0,7501,781,1187,1346,98,1608,1472,1009,1790,63,11,0,52,0,1087,16348,26948,3029,0,555,638,72,3029,29977,1819,1507,24716,24080,11955,12125,101.4,24080,1696,23247,5002,4312,4073,1242,1947,2199,5543,2597,4331,2317,2014,86.9,4331,1299,435,15330,14647,38.6,95.5,5897,1849,11404,98037
2020,24675,12340,12335,36157,1763,45,1047,658,13,34394,62,2565,534,281,85,2211,1967,244,28656,36157,702,3840,1022,536,915,31988,36157,33598,62,12,0,0,0,2638,629,542,577,157,326,284,123,534,299,145,154,0,0,393,29672,33598,2559,0,580,831,251,2559,36157,3034,2717,26704,25558,12831,12727,99.2,25558,1346,24357,3910,5985,5041,3415,2444,2180,4925,2307,3689,2038,1651,81,3689,913,469,17996,18161,37.2,100.9,10599,2396,12658,98038
2020,2200,1202,998,3283,107,0,0,103,4,3176,0,754,19,0,10,330,330,0,2063,3283,148,876,168,19,10,2490,3283,2953,0,0,0,0,0,754,52,422,20,43,109,104,4,19,0,0,0,0,0,10,2170,2953,330,0,59,81,82,330,3283,390,241,2561,2478,1334,1144,85.8,2478,107,2377,134,385,713,151,208,235,755,308,606,333,273,82,606,186,112,1733,1550,46.7,89.4,805,113,1290,98039
2020,17710,9282,8428,25820,901,6,458,437,0,24919,17,5086,235,20,163,1490,1436,54,17908,25820,148,6282,460,20,542,19968,25820,24282,17,1,0,0,0,5121,483,2836,138,885,429,216,134,235,20,0,0,0,20,440,18449,24282,1538,0,69,1161,144,1538,25820,2139,1617,20583,19739,10457,9282,88.8,19739,853,19078,2109,2959,4363,1769,2053,1596,6395,2601,5317,2946,2371,80.5,5317,1619,1097,13546,12274,45.9,90.6,6081,1045,10886,98040
2020,34105,17631,16474,49118,4209,0,3402,581,226,44909,117,5613,2088,112,234,3422,2689,733,33323,49118,1148,7177,3205,493,3385,38481,49118,44801,160,5,0,0,23,5679,1356,799,2077,279,101,629,438,2088,112,0,49,12,51,2047,34715,44801,4317,203,447,1038,729,4317,49118,3213,3265,38541,37195,19000,18195,95.8,37195,2403,35741,5433,7248,7435,3516,3849,3533,8388,3967,6244,3251,2993,92.1,6244,1606,671,24496,24622,40.5,100.5,11923,2979,17494,98042
2020,15177,7724,7453,21328,2182,20,1370,742,50,19146,58,2026,1301,341,63,1238,1227,11,14119,21328,437,2658,1974,508,1359,16014,21328,19793,75,0,0,0,0,2047,220,386,505,176,156,275,329,1330,347,0,26,321,0,1121,14873,19793,1535,11,157,315,414,1535,21328,1033,962,17727,17287,8951,8336,93.1,17287,1249,16687,3664,3613,2470,1151,1593,1433,3662,1633,2877,1538,1339,87.1,2877,807,437,10962,10366,37.3,94.6,4041,1283,8954,98043
2020,10908,5397,5511,15174,1716,0,1340,117,259,13458,52,506,45,14,10,636,636,0,12195,15174,245,1106,111,14,1161,13477,15174,14295,128,0,0,0,0,506,37,114,235,59,19,42,0,45,14,0,0,14,0,988,12614,14295,879,0,101,539,36,879,15174,1187,924,12094,11740,5881,5859,99.6,11740,609,11243,1859,2174,2650,792,1263,1009,2523,1235,1801,959,842,87.8,1801,368,198,7592,7582,39.8,99.9,3434,906,6023,98045
2020,4703,2691,2012,7012,1125,0,827,100,198,5887,64,934,607,508,0,577,577,0,3197,7012,267,1403,936,752,438,4274,7012,6135,64,30,0,0,0,934,53,0,704,16,0,161,0,638,508,0,62,289,157,438,3553,6135,877,0,110,225,205,877,7012,435,577,5498,5207,2949,2258,76.6,5207,335,4921,1710,775,734,391,457,381,794,340,626,400,226,56.5,626,274,12,3773,3239,31.6,85.8,1805,591,2480,98047
2020,418,169,249,523,0,0,0,0,0,523,0,0,0,0,0,99,99,0,424,523,99,0,0,0,0,523,523,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,424,99,0,99,0,0,99,523,20,0,418,418,169,249,147.3,418,0,418,72,85,117,85,124,20,0,0,0,0,0,-,0,0,0,197,326,45,165.5,105,0,238,98050
2020,3407,1813,1594,4386,59,0,42,11,6,4327,0,73,0,0,39,321,315,6,3894,4386,45,268,95,0,51,4257,4386,4065,0,0,0,0,0,84,0,10,9,14,41,0,10,0,0,0,0,0,0,45,3936,4065,321,0,36,184,86,321,4386,159,261,3559,3433,1831,1602,87.5,3433,274,3304,385,493,675,280,580,357,742,407,575,323,252,78,575,104,64,2425,1961,44.8,80.9,953,347,1634,98051
2020,38525,19011,19514,71940,5363,129,3174,1868,192,66577,124,25827,1093,155,349,2854,2516,338,36175,71940,847,27751,1979,468,2115,42858,71940,68148,484,22,0,0,7,25871,14318,6784,359,1401,1043,1493,473,1155,155,102,27,26,0,1084,39399,68148,3792,0,211,1487,536,3792,71940,3793,3375,56679,55315,27151,28164,103.7,55315,3337,53812,15296,12711,8583,5407,3241,3578,9726,4558,7448,4139,3309,79.9,7448,1697,1193,35549,36391,34.8,102.4,16625,5171,29937,98052
2020,13635,6891,6744,22911,762,28,369,313,52,22149,0,5972,220,0,0,803,657,146,15154,22911,99,6490,497,13,443,16461,22911,21869,0,0,0,0,0,5981,4119,830,56,302,253,406,15,220,0,0,0,0,0,58,15610,21869,1042,9,53,314,189,1042,22911,1782,1029,17448,17008,8624,8384,97.2,17008,533,16670,1922,3782,3362,1851,1286,1344,5364,2753,4507,2336,2171,92.9,4507,1552,202,11660,11251,43.2,96.5,5903,1513,8891,98053
2020,16481,7929,8552,24077,2470,0,1758,426,286,21607,167,5868,2874,479,115,1946,1889,57,10158,24077,838,6875,4331,765,1945,12493,24077,21687,208,22,10,5,0,5868,1130,1392,983,65,256,935,1107,2874,495,209,76,0,210,1384,10858,21687,2390,146,100,353,365,2390,24077,1231,757,19366,19079,9297,9782,105.2,19079,1586,18475,5114,3560,2949,1559,1287,1369,3632,1565,2881,1664,1217,73.1,2881,809,507,11815,12262,35,103.8,4998,1784,9862,98055
2020,25009,12402,12607,36625,6522,96,4418,1951,57,30103,191,9335,1759,383,1081,1414,1301,113,15940,36625,681,10090,2454,495,4340,21123,36625,34367,249,0,0,0,25,9376,812,2322,1289,472,949,1414,2118,1775,383,0,10,82,291,3417,19167,34367,2258,0,325,478,211,2258,36625,1760,1983,30561,29733,14554,15179,104.3,29733,2095,28550,6879,6115,4889,1874,2296,2278,5722,2863,4410,2404,2006,83.4,4410,1040,507,18148,18477,37.5,101.8,6892,2046,15003,98056
2020,8782,4468,4314,11534,1539,0,1112,268,159,9995,22,2058,2021,245,33,749,657,92,4867,11534,443,2395,2467,268,890,6268,11534,10488,22,0,0,0,0,2062,54,321,804,47,164,105,567,2021,245,0,0,0,245,568,5570,10488,1046,25,245,253,112,1046,11534,560,344,9912,9727,4870,4857,99.7,9727,585,9621,2565,1902,1609,429,769,526,2011,872,1713,1064,649,61,1713,542,299,5642,5892,38.2,104.4,1807,532,6188,98057
2020,30204,15360,14844,43482,4352,11,3223,763,355,39130,139,6373,3932,367,154,2642,2604,38,25523,43482,690,8054,5358,893,3020,30146,43482,39627,139,0,5,0,0,6389,470,1239,1253,353,511,1528,1035,4082,418,118,239,12,49,1912,26687,39627,3855,108,176,1002,831,3855,43482,2699,2384,34112,33111,17051,16060,94.2,33111,2179,31689,6067,6330,5872,2947,2800,2926,7629,3767,6080,3391,2689,79.3,6080,1645,668,21902,21580,38.1,98.5,10371,3198,16533,98058
2020,27173,13901,13272,40693,3142,41,2389,572,140,37551,147,10469,944,12,155,3242,2772,470,22582,40693,659,12231,1733,98,2049,27575,40693,37214,147,0,14,0,14,10496,1483,2870,1308,451,593,1472,2319,1039,12,0,0,0,12,1397,24123,37214,3479,3,471,1568,610,3479,40693,3287,2814,31741,30530,15662,14868,94.9,30530,2182,29148,4178,6625,6855,2858,2390,2044,6285,3307,5109,2865,2244,78.3,5109,1268,534,20655,20038,39.2,97,10163,2351,14257,98059
2020,10121,4924,5197,15896,908,0,530,342,36,14988,10,1878,48,0,0,668,619,49,12384,15896,126,2314,232,0,293,13693,15896,15186,19,0,0,0,0,1878,1103,144,203,32,124,248,24,69,0,0,0,0,0,217,13003,15186,710,0,53,418,111,710,15896,1572,1061,11339,10943,5439,5504,101.2,10943,286,10504,1550,3657,2349,1556,829,602,1636,939,1316,581,735,126.5,1316,140,237,8025,7871,37,98.1,4953,1118,5591,98065
2020,449,203,246,497,8,0,4,4,0,489,0,8,4,0,7,0,0,0,470,497,0,10,6,0,13,472,497,495,0,0,0,0,0,8,0,0,0,0,0,8,0,4,0,0,0,0,0,13,470,495,2,0,0,0,0,2,497,10,2,458,458,210,248,118.1,458,0,456,67,22,120,22,112,64,135,48,71,36,35,97.2,71,23,0,242,255,54.9,105.4,39,7,783,98068
2020,8372,4625,3747,10400,609,0,333,225,51,9791,2,107,4,115,0,287,287,0,9276,10400,140,295,96,149,248,9958,10400,9932,2,0,0,0,0,107,38,31,0,38,0,0,0,4,115,11,104,0,0,67,9637,9932,468,0,8,23,91,468,10400,622,535,8822,8640,4720,3920,83.1,8640,412,8498,931,1005,1290,410,903,1118,3606,1750,2875,1624,1251,77,2875,738,387,5795,4605,52.9,79.5,1760,299,5595,98070
